artists,explicit,id,name,played_at
The Dear Hunter,False,2lMGV7K3osX4BncAn13Ea5,Blame Paradise,2018-11-10T19:33:48.321Z
The Dear Hunter,False,1DmaLXSurJ0OixnQnNI4Jy,The Right Wrong,2018-11-10T19:30:07.974Z
"Bassnectar, Seth Drake",False,7vFQliBjsAIfpteEzYOCOS,F.U.N.,2018-11-10T19:25:27.941Z
Part Time,False,1iJSpNeq4XleP4BOcPwMXt,Honey Lips,2018-11-10T19:20:45.541Z
Ariana Grande,True,5OCJzvD7sykQEKHH7qAC3C,God is a woman,2018-11-10T19:17:46.064Z
Plini,False,7EI0LzrtgucQujRzDd0D3m,Salt + Charcoal,2018-11-10T18:25:02.868Z
Plini,False,28uTV1xcMTcIPTsKVbyhFV,Electric Sunrise,2018-11-10T18:20:32.948Z
Sia,False,1N1ZpYUJc9fwrqk53FGgWv,Santa's Coming For Us,2018-11-10T18:15:29.450Z
Pentatonix,False,4z8sz6E4YyFuEkv5o7IJni,"Mary, Did You Know?",2018-11-10T18:08:38.150Z
"Mr. Projectile, Bassnectar",False,5qRoiTrXaFA5qHYsoeNdYG,I Am Back - Bassnectar Remix,2018-11-10T18:05:15.724Z
Ariana Grande,True,14kYOiFVPb7E7NfFbqhdln,goodnight n go,2018-11-10T01:39:59.006Z
Ariana Grande,True,5OCJzvD7sykQEKHH7qAC3C,God is a woman,2018-11-10T01:38:50.441Z
Eminem,True,7lQ8MOhq6IN2w8EYcFNSUk,Without Me,2018-11-10T01:35:32.675Z
Pentatonix,False,4z8sz6E4YyFuEkv5o7IJni,"Mary, Did You Know?",2018-11-10T01:30:41.884Z
"Bassnectar, Lafa Taylor",False,1ti43ZT6bc4o1eGOSnBHkO,Speakerbox (feat. Lafa Taylor),2018-11-10T01:27:17.786Z
"Bassnectar, Jantsen, RD",False,3wWOi4PlqODQJVhN6PY2lQ,Heavyweight Sound (feat. RD),2018-11-10T01:22:26.422Z
"Bassnectar, W. Darling",False,3x94KfC5QAsqFKjUGQBH4k,You & Me (feat. W. Darling),2018-11-09T21:33:51.757Z
"Bassnectar, Seth Drake",False,7vFQliBjsAIfpteEzYOCOS,F.U.N.,2018-11-09T21:29:24.151Z
Wintergatan,False,33m0aVQvsfvanuwG6rByrd,Sommarfågel - Bassnectar Remix,2018-11-09T21:24:41.617Z
"Bassnectar, Jantsen, RD",False,3wWOi4PlqODQJVhN6PY2lQ,Heavyweight Sound (feat. RD),2018-11-09T21:21:41.003Z
"Bassnectar, Lafa Taylor",False,1ti43ZT6bc4o1eGOSnBHkO,Speakerbox (feat. Lafa Taylor),2018-11-09T21:17:02.429Z
"Rusko, Bassnectar",False,4iPzWylVMumfmvSaF0zmPg,High - Bassnectar Remix,2018-11-09T21:17:01.998Z
"Bassnectar, Jantsen, RD",False,3wWOi4PlqODQJVhN6PY2lQ,Heavyweight Sound (feat. RD),2018-11-09T20:25:24.014Z
Pentatonix,False,4z8sz6E4YyFuEkv5o7IJni,"Mary, Did You Know?",2018-11-09T20:20:32.852Z
"Charli XCX, MØ",False,5cAokEuetqzaLMxhtQl4h2,Porsche (feat. MØ),2018-11-09T20:17:10.385Z
Gipsy Kings,False,0Nx5c4i2z90wi8Uj6LbUbH,A Mi Manera,2018-11-09T17:29:43.874Z
Chon,False,5gBFVFyPYNEySxxirOqPnx,Ecco,2018-11-09T17:25:51.946Z
"Charli XCX, Lil Yachty",False,0y8Wf6ltWpGCpgqVa21QNX,After The Afterparty (feat. Lil Yachty),2018-11-09T16:27:57.683Z
Charli XCX,False,5o4yGlG0PfeVUa6ClIyOxq,Boys,2018-11-09T16:24:17.975Z
